iter	Passed	Remaining
404	8577	2011
405	8606	1992
406	8623	1970
407	8645	1949
408	8676	1930
409	8694	1908
410	8712	1886
411	8734	1865
412	8753	1843
413	8773	1822
414	8794	1801
415	8814	1779
416	8834	1758
417	8853	1736
418	8872	1715
419	8892	1693
420	8910	1672
421	8930	1650
422	8961	1631
423	8980	1609
424	8999	1588
425	9019	1566
426	9037	1545
427	9068	1525
428	9086	1503
429	9105	1482
430	9124	1460
431	9143	1439
432	9160	1417
433	9177	1395
434	9197	1374
435	9217	1353
436	9234	1331
437	9253	1309
438	9271	1288
439	9290	1266
440	9308	1245
441	9339	1225
442	9358	1204
443	9374	1182
444	9392	1160
445	9411	1139
446	9431	1118
447	9453	1097
448	9472	1075
449	9490	1054
450	9511	1033
451	9529	1012
452	9547	990
453	9568	969
454	9603	949
455	9621	928
456	9645	907
457	9667	886
458	9685	865
459	9702	843
460	9719	822
461	9746	801
462	9765	780
463	9784	759
464	9804	737
465	9824	716
466	9845	695
467	9865	674
468	9885	653
469	9906	632
470	9926	611
471	9947	590
472	9968	569
473	9988	547
474	10008	526
475	10028	505
476	10048	484
477	10072	463
478	10093	442
479	10113	421
480	10133	400
481	10169	379
482	10188	358
483	10208	337
484	10227	316
485	10247	295
486	10266	274
487	10283	252
488	10302	231
489	10323	210
490	10340	189
491	10360	168
492	10379	147
493	10398	126
494	10416	105
495	10433	84
496	10453	63
497	10472	42
498	10492	21
499	10510	0
