iter	RMSE
135	564.6798413
136	563.5814787
137	563.4982637
138	563.027095
139	561.7645542
140	561.7522115
141	561.7438536
142	561.4620395
143	560.2626452
144	559.123418
145	558.2106312
146	557.7611335
147	557.7536812
148	557.6635752
149	557.243962
150	556.6270893
151	555.9086069
152	554.7941559
153	554.1957348
154	554.1253217
155	553.6060633
156	553.5420932
157	552.81083
158	551.9675776
159	551.9571242
160	551.4431424
161	550.837884
162	550.7651056
163	550.331461
164	549.4912457
165	549.3154554
166	548.8567052
167	548.5372697
168	548.2660465
169	547.0644702
170	546.6164942
171	545.6188841
172	544.6917809
173	544.2388058
174	543.8160814
175	543.1472235
176	542.5263319
177	542.3423608
178	541.7457636
179	541.0823016
180	540.5593063
181	539.7787792
182	539.5627116
183	538.5472606
184	538.0922307
185	536.912286
186	536.05928
187	535.1972329
188	534.3100242
189	533.3672236
190	532.7284633
191	532.317294
192	531.9147053
193	531.620219
194	530.9800103
195	530.5861833
196	530.5166023
197	529.8236971
198	529.7889724
199	529.0569711
200	529.0546656
201	528.4844382
202	528.242077
203	528.0911804
204	527.7769724
205	527.508361
206	527.1716265
207	527.1694593
208	526.448151
209	526.3335292
210	526.1984925
211	526.1962926
212	525.7449813
213	525.3721629
214	524.8703181
215	524.7344239
216	524.3589023
217	524.058347
218	523.7236447
219	523.4471288
220	523.4003255
221	523.3478673
222	523.0884383
223	522.4082555
224	521.8098544
225	521.4197194
226	521.2461579
227	520.8449665
228	520.2402232
229	519.4436788
230	519.0581092
231	518.7301088
232	518.3287803
233	518.1633867
234	517.7524645
235	516.9387235
236	516.8967963
237	516.4544977
238	515.6120871
239	514.9217292
240	514.3270482
241	514.2665659
242	513.9215348
243	513.5831543
244	512.6646097
245	512.3646211
246	511.7682349
247	510.980706
248	510.7680349
249	509.953297
250	509.7117052
251	509.7110489
252	509.371238
253	509.1364421
254	509.0976817
255	509.0964014
256	509.0959108
257	508.6092532
258	508.1666515
259	507.9700476
260	507.7089375
261	507.2618088
262	506.8647537
263	506.4093247
264	506.299633
265	505.5076868
266	504.6413727
267	504.3157429
268	503.6187709
269	503.4541874
270	503.0086595
271	502.8097414
272	502.5561663
273	502.1310387
274	501.3190886
275	501.1194685
276	501.0471783
277	501.029878
278	500.8255729
279	500.4559471
280	500.2039167
281	499.805495
282	499.1976014
283	499.0784935
284	498.7258986
285	498.1380886
286	498.0635679
287	497.7537745
288	497.3887488
289	496.9238564
290	496.6530203
291	496.1124397
292	495.9364294
293	495.7915565
294	495.501082
295	495.3529266
296	495.2482448
297	495.1547405
298	494.6460969
299	494.3296663
300	493.9464176
301	493.5020548
302	493.2238881
303	492.7646466
304	492.4025452
305	492.2271318
306	491.7497601
307	491.6226353
308	491.372141
309	491.155367
310	490.9134873
311	490.4711323
312	490.4175443
313	489.8691056
314	489.7234851
315	489.4668943
316	489.3957165
317	488.774166
318	488.5458024
319	488.1256717
320	487.908621
321	487.4945101
322	487.1100253
323	486.7783007
324	486.6239337
325	486.5897492
326	486.0913498
327	485.9370239
328	485.5852457
329	485.229271
330	484.7274688
331	484.1659562
332	483.8852094
333	483.6453409
334	483.6067573
335	483.2549695
336	483.0524569
337	482.9434127
338	482.8230441
339	482.5793725
340	482.4231047
341	482.3468834
342	482.082412
343	481.9467201
344	481.6171573
345	481.5067791
346	481.0014051
347	480.4407452
348	479.9359975
349	479.6503024
350	479.239423
351	479.0737794
352	478.7400826
353	478.3163354
354	478.0210625
355	477.8607912
356	477.7558286
357	477.4705413
358	477.1642387
359	476.4622002
360	475.9453207
361	475.6559819
362	475.2744798
363	475.2402465
364	475.0908314
365	475.0660117
366	474.7471619
367	474.4215868
368	474.1858005
369	473.8072435
370	473.6111578
371	473.021051
372	472.6942301
373	472.6039402
374	472.2602611
375	471.369737
376	471.1680293
377	470.9928814
378	470.2968087
379	470.0333064
380	469.8305086
381	469.7737269
382	469.7470772
383	469.4567123
384	469.1991508
385	469.013955
386	468.9307611
387	468.7348306
388	468.5182358
389	467.9711516
390	467.6396559
391	467.3602315
392	467.0800815
393	466.8812628
394	466.5692158
395	466.3926522
396	466.2332277
397	465.9265139
398	465.7801821
399	465.6082381
400	465.3029739
401	465.0542049
402	464.4007076
403	464.1821125
404	463.6232653
405	463.16996
406	462.9807628
407	462.2378614
408	461.7197497
409	461.4804659
410	461.2674614
411	461.2397367
412	460.5533898
413	460.3599978
414	460.1754654
415	460.0438158
416	460.0195595
417	459.7937441
418	459.575955
419	459.2778833
420	459.1387309
421	459.0071834
422	458.7388324
423	458.362755
424	458.2482932
425	458.0731191
426	457.9276847
427	457.9095861
428	457.8614195
429	457.7662672
430	457.365183
431	457.1250154
432	457.0463707
433	457.0132863
434	456.6263881
435	456.5282102
436	456.4410945
437	456.2273622
438	455.9290348
439	455.8523254
440	455.4184956
441	455.307569
442	455.0060286
443	454.8276543
444	454.5656841
445	454.4326184
446	454.2534628
447	454.1525454
448	453.892584
449	453.6742467
450	453.1327428
451	453.0677271
452	453.0591856
453	452.7664772
454	452.7010408
455	452.6530941
456	452.5169489
457	451.9643859
458	451.9405553
459	451.9263293
460	451.9132153
461	451.6849314
462	451.3937321
463	451.2682688
464	450.869305
465	450.6782404
466	450.2307778
467	450.1766718
468	449.8587816
469	449.7867778
470	449.5519554
471	449.2309241
472	449.1124636
473	448.648201
474	448.2978915
475	447.9817174
476	447.818912
477	447.5296728
478	447.2547646
479	447.1458113
480	446.7795628
481	446.7491152
482	446.6478157
483	446.2829618
484	445.8433248
485	445.5068079
486	445.4007729
487	445.362236
488	445.2803446
489	445.2597769
490	445.1634492
491	445.0470834
492	444.8718426
493	444.2254229
494	444.1501038
495	444.0639075
496	444.0480311
497	443.6380213
498	443.3636761
499	443.2166401
